SubjectName,Average,StandardDeviation
subject1015,5.44791666666667,2.78713484778226
subject1032,1.19047619047619,0.49943278484293
subject1033,4.02801120448179,7.3434587382766
subject1094,4.10493827160494,5.69232537774029
subject1184,1.53333333333333,0.805536398239638
subject1185,6.53932584269663,7.31253530447681
subject1208,7.91729323308271,8.12778129403335
subject122,2.9375,2.34585553571494
subject1249,3.63364485981308,3.95823863228799
subject1280,1.32,0.581033561853358
subject1317,1.77049180327869,1.37176973911292
subject1318,1.9,1.57220169883453
subject1324,2.21100917431193,2.6821646553573
subject1354,3.73134328358209,4.09434298322038
subject138,3.46354166666667,3.59330839678074
subject1405,4.22153846153846,3.55270178045222
subject1446,4.21238938053097,3.43189446233348
subject1458,2.80952380952381,4.03014976139225
subject1464,2.71744471744472,2.6109324788485
subject1473,5.45791245791246,4.83384668319612
subject1485,7.96414342629482,5.70757422633732
subject1490,4.63571428571429,4.43719781954737
subject1519,2.23267326732673,1.96260126993002
subject1529,3.24242424242424,4.77258778054932
subject1541,1.97590361445783,1.7318831843412
subject1576,34.2678571428571,18.0094132840783
subject1598,2.68900804289544,2.21373057020696
subject1632,7.15068493150685,5.87348635791574
subject1642,2.81443298969072,2.84053827085467
subject1687,4.92857142857143,4.88842343434664
subject1691,5.82828282828283,6.23616108933448
subject1727,2.96,1.86504691629996
subject1752,39.78,40.3158976087597
subject176,1.45454545454545,1.15708382375981
subject1805,2.48,2.10624468347499
subject1811,1.76767676767677,1.37677916356177
subject1846,2.98620689655172,3.06928320711362
subject1885,1.66237942122186,1.17250088507127
subject1905,1.775,1.35991727689592
subject1906,8.00581395348837,11.8456630730325
subject1909,4.41212121212121,4.02716213907493
subject1917,3.34851485148515,4.15412508478939
subject1939,12.5,10.2834819006016
subject2003,9.45,10.4116788058197
subject2006,1.72527472527473,1.52319743271564
subject2071,2,1.67561699313784
subject2077,7.56281407035176,11.269865726265
subject2082,10.9189189189189,7.87645039997941
subject2091,3.11864406779661,2.24804808563922
subject2141,1.44444444444444,0.598351645237167
subject2259,1.73913043478261,0.942586234290382
subject2339,6.16964285714286,7.4377036501016
subject2371,1.6,1.8
subject2384,3.6,1.99332218503014
subject2418,2.92957746478873,2.6448139190753
subject2449,3.06451612903226,2.47484745533118
subject2450,4.890625,7.22434509899513
subject2460,1.10526315789474,0.306892204991858
subject2466,1.62857142857143,0.958740670603572
subject246,6.57948717948718,5.54770358992174
subject2472,6.25906735751295,7.54641823289182
subject2521,3.23529411764706,1.73304939560662
subject2585,2.02666666666667,1.42336065547547
subject2590,4.86363636363636,5.16364436619098
subject2597,6.86538461538462,13.0715911075446
subject2605,1.62135922330097,1.09824665960227
subject2818,1.35714285714286,0.894997434724405
subject2843,5.17948717948718,5.06810941775614
subject2888,1.46666666666667,0.956846672960488
subject2892,1,0
subject2894,4.83333333333333,3.46810867444747
subject2959,1.14285714285714,0.349927106111882
subject2984,1.14285714285714,0.349927106111883
subject2992,1.29166666666667,0.538451999305004
subject3014,1.61594202898551,1.21179268189148
subject3109,2.98238747553816,2.69334233436775
subject3136,2.52708638360176,2.5833822195702
subject3168,1.22413793103448,0.49281399751574
subject318,1.3,0.9
subject3192,1.48275862068966,1.02455001578228
subject3210,1.52941176470588,0.812957350652074
subject3236,6.25,4.96865172858795
subject3267,4.56944444444444,4.63928391531641
subject3286,8.48717948717949,14.6048319978606
subject3330,3.51910828025478,2.96711560290701
subject3333,1.2,0.6
subject3389,9.21658986175115,7.31919396877306
subject3392,1.29411764705882,0.619744338403103
subject3418,1.6303317535545,1.06687717388535
subject3422,3.23529411764706,2.74103340533841
subject3431,4.06349206349206,2.90523892344812
subject3438,1.2972972972973,0.512801782730007
subject3450,3.08743169398907,3.35967820871275
subject3482,5.46428571428571,7.74687231160066
subject3533,1.55932203389831,0.88817440722535
subject3540,3.07339449541284,2.89797911876772
subject3554,8.94674556213018,10.7054486790825
subject3590,1.52054794520548,0.900678420727548
subject3598,6.33548387096774,9.44476466644768
subject3615,4.49047619047619,5.18260871632964
subject3651,2.71232876712329,2.57213440526764
subject3657,1.6,1.8
subject3674,3.53086419753086,2.84620787244407
subject3687,9.41441441441441,10.0399817562632
subject3760,11.180790960452,8.41783642011713
subject3761,2.19410319410319,1.68653130184495
subject3773,3.59714285714286,5.04782757880121
subject3793,19.2307692307692,14.1565632843451
subject3804,1.84615384615385,0.532938710021193
subject3806,6.66863905325444,6.24331300828507
subject3812,1.2,0.4
subject3843,2.01114206128134,1.609473548208
subject3936,3.07777777777778,3.54095962441375
subject3981,13.6986301369863,11.317564154775
subject4000,2.84,3.85206438160112
subject4010,1.69230769230769,0.821313711694716
subject4020,1.18181818181818,0.533970005657761
subject4021,2.5,3.48963267864743
subject4034,1.67375886524823,1.25758100510751
subject4065,2.35502958579882,2.37429307430127
subject4092,4.39130434782609,1.81153623095649
subject4094,3.57142857142857,2.95959180858939
subject4100,2.03928571428571,2.31035545900167
subject4116,1.1,0.3
subject4130,6.6875,5.20238827366816
subject4181,4.55384615384615,3.55194754479099
subject4218,2.04655870445344,1.77700627893648
subject4233,2.2,0.6
subject4241,1,0
subject4281,4.95744680851064,6.05983444338319
subject4298,6.48611111111111,7.53232488743526
subject4305,1.27567567567568,0.573941048580919
subject4353,3.14506172839506,2.57491585549048
subject4364,1.08,0.391918358845309
subject4367,4.24137931034483,3.03604975214554
subject4395,2.6078431372549,3.68102114890768
subject4410,7.5036496350365,7.63981511565116
subject4435,3.33185840707965,2.69061842701161
subject4448,4.24022346368715,3.24826588120187
subject4454,1.95238095238095,1.13289307174955
subject4458,1.35384615384615,1.11535808987027
subject4463,2.60994764397906,2.78123960034664
subject4471,1.328125,1.01634589799684
subject4484,1.30681818181818,0.645930522323742
subject4487,4.66200466200466,4.69736589281489
subject4510,2.18881118881119,1.84713366666632
subject4514,1.06666666666667,0.249443825784929
subject4544,4.05,4.4981345339723
subject4550,8.75555555555556,7.05582676644096
subject4565,4.57847533632287,3.74068450224766
subject4572,1.79574468085106,1.59012343249095
subject4643,5.03378378378378,4.89334288619745
subject4678,4.34437086092715,4.42456471854067
subject4743,2.14925373134328,2.39248656848822
subject475,1.63855421686747,1.23774292495063
subject4769,3.29787234042553,2.39605077217741
subject4778,2.38271604938272,2.31776766395241
subject4803,1.80952380952381,1.43015784930297
subject4807,6.221875,8.5262914848353
subject4831,1.8972602739726,2.25050816804766
subject4848,5.64766839378238,6.15265284659057
subject489,1.62204724409449,1.38569254897603
subject4903,1.2,0.6
subject4904,1.35135135135135,0.705814316605438
subject4918,4.3356890459364,4.63932702741089
subject4969,10.7578947368421,8.77282381409374
subject497,1.53333333333333,0.805536398239638
subject4988,2.57142857142857,1.56817845715001
subject4999,1.66386554621849,1.16155004323128
subject5008,5.45549738219895,5.3775623274
subject5015,2.5982905982906,2.69158177705252
subject5030,2.2032967032967,2.34107848488826
subject5063,5.15966386554622,5.73941582433793
subject5081,11.2587412587413,15.1628517746513
subject5088,4.01290322580645,6.39151362432949
subject5096,2.71428571428571,3.20847427861948
subject5126,7.04081632653061,5.57677100514402
subject5136,8.76744186046512,9.73088396592251
subject5170,3.02207505518764,3.43651963726745
subject5173,7.8,4.2142615011411
subject517,1.625,1.45236875482778
subject522,1.25,0.433012701892219
subject5236,2.39705882352941,2.60734091434139
subject5276,3.02631578947368,2.34506022933834
subject5287,1.87,1.63496177325343
subject529,21.7285714285714,27.81465257664
subject5306,2.14538310412574,1.66628514642125
subject5349,2.1875,1.34870694246996
subject535,3.81764705882353,5.88684828231219
subject5366,1,0
subject5405,7.12727272727273,6.24311852567448
subject541,9.5,6.50768776140958
subject5425,3.01428571428571,2.89577454303363
subject5439,3.75,1.96320316489829
subject5448,1.66666666666667,1.29099444873581
subject5449,3.17041800643087,5.10027041892594
subject5457,4.22549019607843,4.55447821583673
subject5465,1.66666666666667,0.74535599249993
subject5469,8.64347826086957,8.82357642598394
subject5510,2.03174603174603,2.60626993673318
subject5522,8.59259259259259,9.05133204544956
subject5569,4.1844262295082,3.57627703871955
subject5580,2.01646090534979,1.78463279802323
subject5653,13.5208333333333,17.1949478812496
subject5656,7.08496732026144,6.94699607101492
subject5671,1.47863247863248,1.16647097698216
subject5676,1.7741935483871,1.21042987350282
subject5680,1.23809523809524,0.42591770999996
subject5681,3.57851239669421,4.47537258454617
subject569,3.84894259818731,5.16508354296119
subject5760,1.12121212121212,0.40881022918885
subject5763,1.60606060606061,1.15310894487518
subject5807,1.48951048951049,0.851712654417068
subject5879,3.5,0.763762615825973
subject5916,2.71705426356589,3.22559108292802
subject5937,8.3955223880597,12.0700805971888
subject5967,6.47311827956989,11.2833414156507
subject598,1.46543778801843,0.950359581257151
