SubjectName,Average,StandardDeviation
subject1095,3.37908496732026,3.55720117627142
subject1190,3.19354838709677,2.48979881951076
subject1191,1.33333333333333,0.849836585598797
subject1199,2.40625,2.23410181896439
subject1201,3.64024390243902,5.52476375736176
subject127,1.2,0.6
subject1361,2.79775280898876,3.59935421365778
subject136,2.19736842105263,1.80899121477776
subject1457,7.83333333333333,2.6718699236469
subject1542,4.125,3.11598700254029
subject1555,1.84,1.22245654319489
subject1605,4.21960784313726,4.14052282423098
subject1637,1.09090909090909,0.287479787288034
subject1839,2.27272727272727,1.54277843167974
subject1879,2.4758064516129,2.03384154899294
subject1979,1.51785714285714,0.925647870192459
subject2037,5.53301886792453,9.66338373583804
subject2219,3.63157894736842,4.622718798053
subject2252,3.82014388489209,3.93974727773123
subject2382,1.46666666666667,0.618241233033047
subject2415,3.70781893004115,3.64373025072564
subject2440,2.27272727272727,1.54277843167974
subject2704,1.76344086021505,1.33116368739217
subject2712,1.69444444444444,1.01341313038637
subject2871,7.71917808219178,13.4946682270194
subject3125,2.12,2.24521371263063
subject3336,1.76923076923077,1.04909089976814
subject3364,2.17857142857143,2.26074531687121
subject337,3.50454545454545,3.13411975067486
subject3670,2.35294117647059,1.23389276255312
subject374,7.28358208955224,6.14211293837381
subject3902,2.30662020905923,1.77184466721787
subject405,2,1.22474487139159
subject416,1.6,1.8
subject4359,5.18090452261307,5.46045051116242
subject4493,5.29746835443038,6.75381701141526
subject4630,1.78695652173913,2.32244330633777
subject4675,1.65789473684211,1.24131330684955
subject4879,1.3134328358209,0.673794229271385
subject5080,2.56986899563319,2.70785054387991
subject5537,5.98692810457516,7.21426231568668
subject5649,1.95454545454545,1.02146386610201
subject5723,1.28,0.740450313435457
subject5936,1.36363636363636,0.88139633771206
subject6101,1.04761904761905,0.21295885499998
subject6146,2.68503937007874,4.13683432431085
subject6150,1.29411764705882,0.516174375728948
subject6494,3.32214765100671,4.96060785458032
subject669,4.80645161290323,5.9358595352968
subject6760,3.57142857142857,3.4249981379408
subject7042,1.27027027027027,0.552568872980024
subject7133,1.74390243902439,1.30487804878049
subject7135,2.1587982832618,1.92244977779695
subject7142,3.30769230769231,0.910166120476864
subject7157,2.675,1.73763488685051
subject7181,1,0
subject7326,1.78787878787879,1.2249322988732
subject7364,2.92655367231638,2.96880694496928
subject7367,1.64285714285714,0.610285981808395
subject7515,3.93333333333333,3.21385887818505
subject7533,1.1,0.3
subject7680,2.05882352941176,0.872493939658313
subject7703,1.7,2.1
subject7925,1.14285714285714,0.515078753637713
subject7930,1.94230769230769,1.86478975447699
subject7970,4.32916666666667,4.30164495345159
subject8577,2.71111111111111,2.62146881832153
subject8683,3.72210065645514,4.3796093026816
subject8741,1,0
subject8771,1.76190476190476,1.47695832564484
subject8843,2.21951219512195,1.67495460618433
subject888,2.47916666666667,2.09154631127839
subject8901,5.28571428571429,2.8642768079662
subject896,3.20555555555556,2.81602008796146
subject9001,1.95348837209302,1.97606007313935
subject9115,4.17434210526316,7.78192910657801
subject933,2.83246073298429,2.53626961861333
subject9358,1.90909090909091,0.51425947722658
subject9552,1.42105263157895,0.493727974718256
subject9683,2.99122807017544,2.6407588424113
subject96,1,0
subject9763,3.46341463414634,3.29150837226094
subject9951,6.67924528301887,9.78017552974722
