SubjectName,Average,StandardDeviation
subject1015,47.5454545454545,34.5473683680396
subject1032,2.5,1.31021626713557
subject1033,32.6818181818182,46.2442982860259
subject1094,47.5,53.3863947355236
subject1184,2.09090909090909,0.995859195463938
subject1185,50.6086956521739,45.526618234434
subject1208,55.4210526315789,43.0743736118108
subject122,26.4375,14.1728999767161
subject1249,41.3617021276596,47.4464650307193
subject1280,3,2.06705763652765
subject1317,5.14285714285714,4.26821825529458
subject1318,9.95238095238095,7.60623923390835
subject1324,6.69444444444444,6.85897402614692
subject1354,13.1578947368421,8.66489079042386
subject138,35.625,44.3820919886131
subject1405,49,28.510649639339
subject1446,34,16.2260812978893
subject1458,29.5,39.7160595303132
subject1464,26.3333333333333,20.429514907728
subject1473,67.5416666666667,45.9483216656375
subject1485,111.055555555556,67.6448833757113
subject1490,40.5625,20.5364576728802
subject1519,14.5483870967742,12.7477732645743
subject1529,20.5769230769231,17.0094387302215
subject1541,13.6666666666667,8.18874566435883
subject1576,174.454545454545,42.0505402329661
subject1598,24.4634146341463,18.0258588794064
subject1632,58,38.5385809575576
subject1642,17.0625,10.1456194364859
subject1687,44.16,35.0972135646122
subject1691,72.125,57.4415010394633
subject1727,4.625,2.71281680177634
subject1752,180.818181818182,41.7499443261865
subject176,1.6,1.8
subject1805,9.3,7.03633427290091
subject1811,8.33333333333333,6.25134906075201
subject1846,22.7894736842105,16.2531906094203
subject1885,13.972972972973,9.18425940896496
subject1905,7.88888888888889,4.93163133803825
subject1906,62.5909090909091,50.1186402366779
subject1909,34.6666666666667,28.1718084909506
subject1917,38.4318181818182,31.0237429071178
subject1939,133.333333333333,61.9501591783445
subject2003,100.058823529412,59.9376839021754
subject2006,6.68085106382979,6.55616125026834
subject2071,6.5,3.22102468168128
subject2077,65.4347826086957,61.4447974851917
subject2082,86.5714285714286,46.8900146021278
subject2091,15.3333333333333,4.74926894959167
subject2141,2.36363636363636,1.14991914915214
subject2259,2.85714285714286,1.12485826771597
subject2339,53.1538461538462,50.7669579910855
subject2371,1.6,1.8
subject2384,5.4,1.2
subject2418,13,7.25430906427345
subject2449,6.78571428571429,3.16630860847164
subject2450,62.6,58.438343576799
subject2460,2.25,1.32624604483051
subject2466,3.16666666666667,1.60727512683216
subject246,47.5185185185185,31.7564462635021
subject2472,37.75,40.0718105405783
subject2521,4.23076923076923,2.32557176274323
subject2585,10.1333333333333,4.96476473650957
subject2590,16.4615384615385,7.05598910490377
subject2597,59.5,56.5979976088672
subject2605,4.91176470588235,3.75239254702778
subject2818,1.46153846153846,1.15127919593044
subject2843,18.3636363636364,4.00619355209649
subject2888,3.38461538461538,1.82033224095373
subject2892,1.07692307692308,0.266469355010597
subject2894,7.25,3.05845821725043
subject2959,1.88235294117647,0.757888160395596
subject2984,1.45454545454545,1.43739893644017
subject2992,1.72222222222222,0.730719246553661
subject3014,6.96875,5.1081085968781
subject3109,29.8823529411765,33.6315952399709
subject3136,33.1923076923077,36.0811257188034
subject3168,3.22727272727273,2.08744772785546
subject318,1.3,0.9
subject3192,5.375,5.39299313925023
subject3210,4.33333333333333,1.43372087784044
subject3236,9.61538461538462,4.74809211138799
subject3267,51.40625,51.4768512142837
subject3286,63.0476190476191,52.3236049712576
subject3330,36.8333333333333,28.3314705269992
subject3333,1.2,0.6
subject3389,105.263157894737,63.5492698250016
subject3392,1.62962962962963,0.986882414405499
subject3418,16.3809523809524,8.64911881267841
subject3422,11,5.56177429723046
subject3431,19.6923076923077,9.02462115449998
subject3438,2.28571428571429,1.48461497791618
subject3450,25.1111111111111,27.6985536904585
subject3482,27.4615384615385,36.7038362795108
subject3533,3.28571428571429,2.41804441140154
subject3540,20.9375,11.070618489949
subject3554,100.8,45.0513780773315
subject3590,5.16279069767442,5.29558935630503
subject3598,75.5384615384615,65.9896441579637
subject3615,53.8857142857143,53.2727598194003
subject3651,8.25,6.97764286847643
subject3657,1.6,1.8
subject3674,20.4285714285714,9.45450977587103
subject3687,49.7619047619048,43.1419636194658
subject3760,116.411764705882,71.9967800125806
subject3761,17.86,17.7482506180187
subject3773,30.7073170731707,28.902902126577
subject3793,153.846153846154,76.8263237677597
subject3804,2.4,1.2
subject3806,34.1515151515151,30.2976358834903
subject3812,1.89473684210526,1.16504966427256
subject3843,16.7906976744186,12.1933228764379
subject3936,13.1904761904762,11.2021216001555
subject3981,142.857142857143,60.1994982689784
subject4000,10.4411764705882,10.1841606442397
subject4010,2,0.738548945875996
subject4020,2.47619047619048,1.36692381851498
subject4021,8.02325581395349,8.62524248959567
subject4034,6.05128205128205,4.52881779982777
subject4065,18.952380952381,14.9283245973367
