SubjectName,Average,StandardDeviation
subject1095,34.4666666666667,28.6120409773384
subject1190,18.5625,11.0677953427952
subject1191,1.6,1.8
subject1199,8.55555555555556,5.02463069093112
subject1201,14.925,14.6088800049833
subject127,1.2,0.6
subject1361,15.8936170212766,15.0887220706615
subject136,14.3142857142857,13.0947567011084
subject1457,9.4,1.2
subject1542,15,4.67099366496914
subject1555,3.83333333333333,1.51840559652405
subject1605,41.3846153846154,32.1344254931553
subject1637,1.09090909090909,0.287479787288034
subject1839,2.27272727272727,1.54277843167974
subject1879,10.9642857142857,10.7054129928246
subject1979,6.53846153846154,4.30769230769231
subject2037,39.1,44.3443720592967
subject2219,26.5384615384615,26.3583258425659
subject2252,37.9285714285714,32.3341135329111
subject2382,2.31578947368421,1.65601397079498
subject2415,20.0222222222222,22.9709854564297
subject2440,2.5,1.5
subject2704,6.56,4.89963263929042
subject2712,5.71875,5.3574386079077
subject2871,51.2272727272727,50.1913898974188
subject3125,15.3111111111111,12.4379745085984
subject3336,2.3,0.9
subject3364,5.30434782608696,4.09065512568316
subject337,26.5862068965517,25.2620981482882
subject3670,3.07692307692308,1.20649131856601
subject374,30.5,16.1979937029251
subject3902,22.0666666666667,13.3114820946263
subject405,3.42857142857143,2.63802647323134
subject416,1.6,1.8
subject4359,39.6538461538462,31.215063311081
subject4493,38.0454545454545,31.597579413515
subject4630,9.34090909090909,8.38272894874331
subject4675,4.2,1.6
subject4879,3.52,2.38528824254009
subject5080,23.54,28.6434704601241
subject5537,63.1724137931034,51.2902954896439
subject5649,2.6875,1.2608900626145
subject5723,3.84,2.50886428489068
subject5936,1.5,1.5
subject6101,1.29411764705882,0.455645099553814
subject6146,9.21621621621622,9.43866440143839
subject6150,2.2,1.0295630140987
subject6494,13.0263157894737,11.9659315561113
subject669,40.1153846153846,40.1174496112802
subject6760,9.61538461538462,3.62763880693895
subject7042,1.88,1.10706820024784
subject7133,6.80952380952381,4.63546419948113
subject7135,14.7941176470588,8.76080647565087
subject7142,3.90909090909091,0.668042657122685
subject7157,7.64285714285714,4.41761317030464
subject7181,1,0
subject7326,5.1304347826087,3.46791940914944
subject7364,14,10.5676712513058
subject7367,2.09090909090909,0.668042657122685
subject7515,5.36363636363636,2.90055566064433
subject7533,1.1,0.3
subject7680,3.5,1.5
subject7703,1.7,2.1
subject7925,1.33333333333333,0.74535599249993
subject7930,3.88461538461538,3.43429449788815
subject7970,43.2916666666667,30.4281656346368
subject8577,14.3529411764706,9.22235886930165
subject8683,36.9782608695652,29.737612788634
subject8741,1,0
subject8771,6.9375,6.88266618034029
subject8843,5.6875,2.77756075541112
subject888,9.15384615384615,4.89656321933525
subject8901,10.0909090909091,2.64418901313618
subject896,16.9705882352941,16.9141174833987
subject9001,4.66666666666667,3.21455025366432
subject9115,30.9512195121951,43.4965382527875
subject933,30.0555555555556,17.4911794349235
subject9358,2.1,0.3
subject9552,2.25,1.23322071557906
subject9683,14.8260869565217,11.7645457567219
subject96,1,0
subject9763,7.88888888888889,5.66557723732532
subject9951,48.2727272727273,38.3301232336584
