SubjectName,Average,StandardDeviation
subject1095,86.1666666666667,30.2512625999129
subject1190,29.7,2.1
subject1191,1.6,1.8
subject1199,15.4,1.2
subject1201,42.6428571428571,20.3982042026713
subject127,1.2,0.6
subject1361,53.3571428571429,26.7010089238407
subject136,38.5384615384615,15.1739421611544
subject1457,9.4,1.2
subject1542,16.5,1.5
subject1555,4.6,1.8
subject1605,89.6666666666667,29.6488710671343
subject1637,1.09090909090909,0.287479787288034
subject1839,2.5,1.5
subject1879,25.5833333333333,9.6562443815158
subject1979,14.1666666666667,5.01386965216377
subject2037,83.7857142857143,43.8474279607768
subject2219,79.6153846153846,31.3406554875697
subject2252,88.5,34.3110769285955
subject2382,3.66666666666667,1.64991582276861
subject2415,69.3076923076923,23.6265320720473
subject2440,2.5,1.5
subject2704,14.9090909090909,3.84836554336668
subject2712,15.25,5.95993568197957
subject2871,86.6923076923077,40.0871830953574
subject3125,53,19.2433804802507
subject3336,2.3,0.9
subject3364,11.0909090909091,2.99862227317648
subject337,64.25,23.636571240347
subject3670,3.33333333333333,1.02740233382816
subject374,44.3636363636364,11.315899733422
subject3902,55.1666666666667,16.1546346978885
subject405,4.8,2.4
subject416,1.6,1.8
subject4359,85.9166666666667,31.9751422549177
subject4493,76.0909090909091,22.629243129811
subject4630,31.6153846153846,12.934976206683
subject4675,6.3,0.9
subject4879,7.33333333333333,2.28521820013368
subject5080,84.0714285714286,45.4162719198972
subject5537,152.666666666667,44.6958859652902
subject5649,4.3,0.9
subject5723,7.38461538461539,3.10182233133169
subject5936,1.5,1.5
subject6101,2.2,0.6
subject6146,24.3571428571429,10.7345047317859
subject6150,3.38461538461538,1.33234677505298
subject6494,38.0769230769231,16.3446605652758
subject669,86.9166666666667,36.0172605226377
subject6760,12.5,1.5
subject7042,3.61538461538462,2.43495258328376
subject7133,13,3.64317543809343
subject7135,41.9166666666667,12.2233269702738
subject7142,4.3,0.9
subject7157,9.72727272727273,3.44016144153173
subject7181,1,0
subject7326,10.7272727272727,3.41363333736702
subject7364,43.1666666666667,12.9024114886413
subject7367,2.09090909090909,0.668042657122685
subject7515,5.9,2.7
subject7533,1.1,0.3
subject7680,3.5,1.5
subject7703,1.7,2.1
subject7925,1.6,1.8
subject7930,7.76923076923077,3.01671870017347
subject7970,94.4545454545455,20.8952523375032
subject8577,22.1818181818182,5.7653854529847
subject8683,130.846153846154,45.906001206221
subject8741,1,0
subject8771,17.0769230769231,7.97555436666451
subject8843,8.27272727272727,1.81363066756909
subject888,11.9,2.7
subject8901,11.1,0.3
subject896,48.0833333333333,15.6122725941983
subject9001,7.63636363636364,2.42234774444986
subject9115,84.6,48.3484574038648
subject933,49.1818181818182,15.242394120098
subject9358,2.1,0.3
subject9552,2.7,2.1
subject9683,28.4166666666667,9.97044242860979
subject96,1,0
subject9763,12.9090909090909,2.96815049405718
subject9951,88.5,32.9254207768607
